HDF5 "solver.out.h5" {
DATASET "/G1_LEGENDRE" {
   DATATYPE  H5T_IEEE_F64LE
   DATASPACE  SIMPLE { ( 4, 4, 40, 2 ) / ( 4, 4, 40, 2 ) }
   DATA {
   (0,0,0,0): -3.51594, 0,
   (0,0,1,0): -1.31705, 0,
   (0,0,2,0): -3.00128, 0,
   (0,0,3,0): -1.16397, 0,
   (0,0,4,0): -1.63095, 0,
   (0,0,5,0): -0.693643, 0,
   (0,0,6,0): -0.760629, 0,
   (0,0,7,0): -0.33793, 0,
   (0,0,8,0): -0.314198, 0,
   (0,0,9,0): -0.143544, 0,
   (0,0,10,0): -0.123852, 0,
   (0,0,11,0): -0.0528907, 0,
   (0,0,12,0): -0.0531731, 0,
   (0,0,13,0): -0.0232695, 0,
   (0,0,14,0): -0.021784, 0,
   (0,0,15,0): -0.00430118, 0,
   (0,0,16,0): -0.00526756, 0,
   (0,0,17,0): -0.000982552, 0,
   (0,0,18,0): -0.00091542, 0,
   (0,0,19,0): 0.00546534, 0,
   (0,0,20,0): 0.0103534, 0,
   (0,0,21,0): 0.00353699, 0,
   (0,0,22,0): 0.0117125, 0,
   (0,0,23,0): 0.00339609, 0,
   (0,0,24,0): 0.00926821, 0,
   (0,0,25,0): 0.00427873, 0,
   (0,0,26,0): 0.00754328, 0,
   (0,0,27,0): -0.00373875, 0,
   (0,0,28,0): 0.000159876, 0,
   (0,0,29,0): -0.0111861, 0,
   (0,0,30,0): -0.00476943, 0,
   (0,0,31,0): -0.00755491, 0,
   (0,0,32,0): -0.00706109, 0,
   (0,0,33,0): -0.00396427, 0,
   (0,0,34,0): 0.00105115, 0,
   (0,0,35,0): 0.00345111, 0,
   (0,0,36,0): 0.0040603, 0,
   (0,0,37,0): -0.00400182, 0,
   (0,0,38,0): -0.00806084, 0,
   (0,0,39,0): -0.0161725, 0,
   (0,1,0,0): 0, 0,
   (0,1,1,0): 0, 0,
   (0,1,2,0): 0, 0,
   (0,1,3,0): 0, 0,
   (0,1,4,0): 0, 0,
   (0,1,5,0): 0, 0,
   (0,1,6,0): 0, 0,
   (0,1,7,0): 0, 0,
   (0,1,8,0): 0, 0,
   (0,1,9,0): 0, 0,
   (0,1,10,0): 0, 0,
   (0,1,11,0): 0, 0,
   (0,1,12,0): 0, 0,
   (0,1,13,0): 0, 0,
   (0,1,14,0): 0, 0,
   (0,1,15,0): 0, 0,
   (0,1,16,0): 0, 0,
   (0,1,17,0): 0, 0,
   (0,1,18,0): 0, 0,
   (0,1,19,0): 0, 0,
   (0,1,20,0): 0, 0,
   (0,1,21,0): 0, 0,
   (0,1,22,0): 0, 0,
   (0,1,23,0): 0, 0,
   (0,1,24,0): 0, 0,
   (0,1,25,0): 0, 0,
   (0,1,26,0): 0, 0,
   (0,1,27,0): 0, 0,
   (0,1,28,0): 0, 0,
   (0,1,29,0): 0, 0,
   (0,1,30,0): 0, 0,
   (0,1,31,0): 0, 0,
   (0,1,32,0): 0, 0,
   (0,1,33,0): 0, 0,
   (0,1,34,0): 0, 0,
   (0,1,35,0): 0, 0,
   (0,1,36,0): 0, 0,
   (0,1,37,0): 0, 0,
   (0,1,38,0): 0, 0,
   (0,1,39,0): 0, 0,
   (0,2,0,0): 0, 0,
   (0,2,1,0): 0, 0,
   (0,2,2,0): 0, 0,
   (0,2,3,0): 0, 0,
   (0,2,4,0): 0, 0,
   (0,2,5,0): 0, 0,
   (0,2,6,0): 0, 0,
   (0,2,7,0): 0, 0,
   (0,2,8,0): 0, 0,
   (0,2,9,0): 0, 0,
   (0,2,10,0): 0, 0,
   (0,2,11,0): 0, 0,
   (0,2,12,0): 0, 0,
   (0,2,13,0): 0, 0,
   (0,2,14,0): 0, 0,
   (0,2,15,0): 0, 0,
   (0,2,16,0): 0, 0,
   (0,2,17,0): 0, 0,
   (0,2,18,0): 0, 0,
   (0,2,19,0): 0, 0,
   (0,2,20,0): 0, 0,
   (0,2,21,0): 0, 0,
   (0,2,22,0): 0, 0,
   (0,2,23,0): 0, 0,
   (0,2,24,0): 0, 0,
   (0,2,25,0): 0, 0,
   (0,2,26,0): 0, 0,
   (0,2,27,0): 0, 0,
   (0,2,28,0): 0, 0,
   (0,2,29,0): 0, 0,
   (0,2,30,0): 0, 0,
   (0,2,31,0): 0, 0,
   (0,2,32,0): 0, 0,
   (0,2,33,0): 0, 0,
   (0,2,34,0): 0, 0,
   (0,2,35,0): 0, 0,
   (0,2,36,0): 0, 0,
   (0,2,37,0): 0, 0,
   (0,2,38,0): 0, 0,
   (0,2,39,0): 0, 0,
   (0,3,0,0): 0, 0,
   (0,3,1,0): 0, 0,
   (0,3,2,0): 0, 0,
   (0,3,3,0): 0, 0,
   (0,3,4,0): 0, 0,
   (0,3,5,0): 0, 0,
   (0,3,6,0): 0, 0,
   (0,3,7,0): 0, 0,
   (0,3,8,0): 0, 0,
   (0,3,9,0): 0, 0,
   (0,3,10,0): 0, 0,
   (0,3,11,0): 0, 0,
   (0,3,12,0): 0, 0,
   (0,3,13,0): 0, 0,
   (0,3,14,0): 0, 0,
   (0,3,15,0): 0, 0,
   (0,3,16,0): 0, 0,
   (0,3,17,0): 0, 0,
   (0,3,18,0): 0, 0,
   (0,3,19,0): 0, 0,
   (0,3,20,0): 0, 0,
   (0,3,21,0): 0, 0,
   (0,3,22,0): 0, 0,
   (0,3,23,0): 0, 0,
   (0,3,24,0): 0, 0,
   (0,3,25,0): 0, 0,
   (0,3,26,0): 0, 0,
   (0,3,27,0): 0, 0,
   (0,3,28,0): 0, 0,
   (0,3,29,0): 0, 0,
   (0,3,30,0): 0, 0,
   (0,3,31,0): 0, 0,
   (0,3,32,0): 0, 0,
   (0,3,33,0): 0, 0,
   (0,3,34,0): 0, 0,
   (0,3,35,0): 0, 0,
   (0,3,36,0): 0, 0,
   (0,3,37,0): 0, 0,
   (0,3,38,0): 0, 0,
   (0,3,39,0): 0, 0,
