HDF5 "solver.out.h5" {
DATASET "/G1_LEGENDRE" {
   DATATYPE  H5T_IEEE_F64LE
   DATASPACE  SIMPLE { ( 4, 4, 40, 2 ) / ( 4, 4, 40, 2 ) }
   DATA {
   (0,0,0,0): -2.91725, 0,
   (0,0,1,0): 0.0116112, 0,
   (0,0,2,0): -1.58303, 0,
   (0,0,3,0): -0.0110141, 0,
   (0,0,4,0): -0.86827, 0,
   (0,0,5,0): -0.00690302, 0,
   (0,0,6,0): -0.642035, 0,
   (0,0,7,0): 0.00698066, 0,
   (0,0,8,0): -0.532763, 0,
   (0,0,9,0): -0.00754429, 0,
   (0,0,10,0): -0.415248, 0,
   (0,0,11,0): -0.0145503, 0,
   (0,0,12,0): -0.293029, 0,
   (0,0,13,0): -0.0206126, 0,
   (0,0,14,0): -0.22031, 0,
   (0,0,15,0): 0.00498241, 0,
   (0,0,16,0): -0.138015, 0,
   (0,0,17,0): -0.00419683, 0,
   (0,0,18,0): -0.0890613, 0,
   (0,0,19,0): -0.00558547, 0,
   (0,0,20,0): -0.0571951, 0,
   (0,0,21,0): -0.00752449, 0,
   (0,0,22,0): -0.0204975, 0,
   (0,0,23,0): 0.00267608, 0,
   (0,0,24,0): -0.0133317, 0,
   (0,0,25,0): -0.00723046, 0,
   (0,0,26,0): -0.0144272, 0,
   (0,0,27,0): 0.0118917, 0,
   (0,0,28,0): 0.00823038, 0,
   (0,0,29,0): 0.0177876, 0,
   (0,0,30,0): 0.00967886, 0,
   (0,0,31,0): -0.00165995, 0,
   (0,0,32,0): 0.0140495, 0,
   (0,0,33,0): -0.00086465, 0,
   (0,0,34,0): -0.0060703, 0,
   (0,0,35,0): 0.000678824, 0,
   (0,0,36,0): -0.00239151, 0,
   (0,0,37,0): -0.00150863, 0,
   (0,0,38,0): -0.00178859, 0,
   (0,0,39,0): 0.00626381, 0,
   (0,1,0,0): 0, 0,
   (0,1,1,0): 0, 0,
   (0,1,2,0): 0, 0,
   (0,1,3,0): 0, 0,
   (0,1,4,0): 0, 0,
   (0,1,5,0): 0, 0,
   (0,1,6,0): 0, 0,
   (0,1,7,0): 0, 0,
   (0,1,8,0): 0, 0,
   (0,1,9,0): 0, 0,
   (0,1,10,0): 0, 0,
   (0,1,11,0): 0, 0,
   (0,1,12,0): 0, 0,
   (0,1,13,0): 0, 0,
   (0,1,14,0): 0, 0,
   (0,1,15,0): 0, 0,
   (0,1,16,0): 0, 0,
   (0,1,17,0): 0, 0,
   (0,1,18,0): 0, 0,
   (0,1,19,0): 0, 0,
   (0,1,20,0): 0, 0,
   (0,1,21,0): 0, 0,
   (0,1,22,0): 0, 0,
   (0,1,23,0): 0, 0,
   (0,1,24,0): 0, 0,
   (0,1,25,0): 0, 0,
   (0,1,26,0): 0, 0,
   (0,1,27,0): 0, 0,
   (0,1,28,0): 0, 0,
   (0,1,29,0): 0, 0,
   (0,1,30,0): 0, 0,
   (0,1,31,0): 0, 0,
   (0,1,32,0): 0, 0,
   (0,1,33,0): 0, 0,
   (0,1,34,0): 0, 0,
   (0,1,35,0): 0, 0,
   (0,1,36,0): 0, 0,
   (0,1,37,0): 0, 0,
   (0,1,38,0): 0, 0,
   (0,1,39,0): 0, 0,
   (0,2,0,0): 0, 0,
   (0,2,1,0): 0, 0,
   (0,2,2,0): 0, 0,
   (0,2,3,0): 0, 0,
   (0,2,4,0): 0, 0,
   (0,2,5,0): 0, 0,
   (0,2,6,0): 0, 0,
   (0,2,7,0): 0, 0,
   (0,2,8,0): 0, 0,
   (0,2,9,0): 0, 0,
   (0,2,10,0): 0, 0,
   (0,2,11,0): 0, 0,
   (0,2,12,0): 0, 0,
   (0,2,13,0): 0, 0,
   (0,2,14,0): 0, 0,
   (0,2,15,0): 0, 0,
   (0,2,16,0): 0, 0,
   (0,2,17,0): 0, 0,
   (0,2,18,0): 0, 0,
   (0,2,19,0): 0, 0,
   (0,2,20,0): 0, 0,
   (0,2,21,0): 0, 0,
   (0,2,22,0): 0, 0,
   (0,2,23,0): 0, 0,
   (0,2,24,0): 0, 0,
   (0,2,25,0): 0, 0,
   (0,2,26,0): 0, 0,
   (0,2,27,0): 0, 0,
   (0,2,28,0): 0, 0,
   (0,2,29,0): 0, 0,
   (0,2,30,0): 0, 0,
   (0,2,31,0): 0, 0,
   (0,2,32,0): 0, 0,
